REF,LINEA,REFERENCIA,TARGET,PRECIO
5001,A. RUIZ,BESO 100 ML ,Mujer,12900
5002,A. RUIZ,LOVE FOREVER 80 ML,Mujer,12900
5003,A. RUIZ,FLOR 100 ML ESTUCHE,Mujer,15900
5004,A. RUIZ,OH LA LA 100 ML ,Mujer,12900
5005,A. RUIZ,GOTAS DE COLOR 80 ML,Mujer,12900
5006,A.BANDERAS,DIAVALO VARON 100 ML ESTUCHE,Hombre,14900
5007,A.BANDERAS,BLUE SEDUCTION DAMA 100 ML ESTUCHE,Mujer,15900
5008,A.BANDERAS,BLUE SEDUCTION VARON 200 ML,Hombre,18900
5009,A.BANDERAS,BLACK SEDUCTION VARON 100 ML,Hombre,13900
5010,A.BANDERAS,BLACK SEDUCTION VARON 200 ML,Hombre,18900
5011,A.BANDERAS,KING SEDUCTION VARON 100 ML NEW,Hombre,13900
5012,A.BANDERAS,SECRET DAMA 80 ML,Mujer,13900
5013,A.BANDERAS,SECRET VARON 200 ML,Hombre,18900
5014,A.BANDERAS,GOLDEN SECRET DAMA 80 ML,Mujer,13900
5015,A.BANDERAS,GOLDEN SECRET VARON 200 ML,Hombre,18900
5016,A.BANDERAS,SPIRIT VARON 100 ML,Hombre,13900
5017,A.BANDERAS,SPIRIT VARON 50 ML TESTER,Hombre,6900
5018,A.BANDERAS,SPIRIT DAMA 100 ML,Mujer,13900
5019,A.BANDERAS,MEDITERRANEO 100 ML,Hombre,10900
5020,A.PUIG,QUORUM 100 ML,Hombre,8900
5021,A.PUIG,QUORUM 100 ML TESTER,Hombre,6900
5022,A.PUIG,AQUA QUORUM 100 ML ,Hombre,8900
5023,A.PUIG,AQUA QUORUM 100 ML TESTER ,Hombre,6900
5024,A.PUIG,QUORUM SILVER 100 ML,Hombre,8900
5025,A.PUIG,QUORUM SILVER 100 ML TESTER,Hombre,6900
5026,A.PUIG,AGUA BRAVA 100 ML,Hombre,8900
5027,A.PUIG,AGUA BRAVA 200 ML,Hombre,11900
5028,A.PUIG,AGUA BRAVA 350 ML,Hombre,15900
5029,A.PUIG,AGUA BRAVA 500 ML,Hombre,19900
5030,A.PUIG,AGUA BRAVA AZUL 100 ML,Hombre,12900
5031,ADIDAS,ADIDAS VARON 100 ML ,Hombre,3900
5032,ANIMALE,ANIMALE DAMA 100 ML ,Mujer,20900
5033,ANIMALE,ANIMALE ANIMALE DAMA 100 ML,Mujer,17900
5034,ANIMALE,ANIMALE VARON 100 ML,Hombre,16900
5035,ANIMALE,ANIMALE ANIMALE VARON 100 ML,Hombre,15900
5036,ARAMIS,ARAMIS EDT 110 ML ,Hombre,22900
5037,ARAMIS,ARAMIS EDT 110 ML TESTER,Hombre,19900
5038,AZZARO,AZZARO EDITION LIMITED 100 ML,Hombre,19900
5039,AZZARO,AZZARO 100 ML,Hombre,19900
5040,AZZARO,AZZARO 200 ML,Hombre,29900
5041,AZZARO,AZZARO 100 ML ESTUCHE,Hombre,24900
5042,AZZARO,AZZARO 100 ML TESTER,Hombre,16900
5043,AZZARO,AZZARO SUMMER 100 ML ,Hombre,17900
5044,AZZARO,AZZARO ELIXIR 100 ML,Hombre,16900
5045,AZZARO,CHROME 100 ML,Hombre,19900
5046,AZZARO,CHROME 200 ML,Hombre,29900
5047,AZZARO,CHROME 100 ML ESTUCHE,Hombre,24900
5048,AZZARO,CHROME UNITED 100 ML ESTUCHE,Hombre,24900
5049,AZZARO,CHROME LEGEND 125 ML ,Hombre,21900
5050,AZZARO,CHROME SPORT 100 ML,Hombre,16900
5051,AZZARO,AZZARO ONIX 100 ML ,Hombre,13900
5052,AZZARO,AZZARO SILVER BLACK 100 ML ,Hombre,19900
5053,AZZARO,AZZARO NIGHT TIME 100 ML ,Hombre,17900
5054,AZZARO,AZZARO VISIT DAMA 75 ML ,Mujer,18900
5055,AZZARO,AZZARO VISIT VARON 100 ML ,Hombre,18900
5056,B.SPEARS,FANTASY MIDNIGHT 100 ML ,Mujer,21900
5057,B.SPEARS,FANTASY MIDNIGHT 100 ML TESTER,Mujer,18900
5058,B.SPEARS,FANTASY 100 ML ,Mujer,22900
